the	ð ə
deemed	d iː m d
scoring	s k ɔː ɹ ɪ ŋ
expenditure	ɛ k s p ɛ n d ɪ tʃ ɚ
brooklyn	b ɹ ʊ k l ɪ n
liverpool	l ɪ v ɚ p uː l
sisters	s ɪ s t ɚ z
critics	k ɹ ɪ ɾ ɪ k s
connectivity	k ɑː n ɪ k t ɪ v ᵻ ɾ i
spots	s p ɑː t s
oo	uː
algorithms	æ l ɡ ɚ ɹ ɪ θ ə m z
hacker	h æ k ɚ
madrid	m ə d ɹ ɪ d
similarly	s ɪ m ɪ l ɚ l i
margin	m ɑːɹ dʒ ɪ n
coin	k ɔɪ n
solely	s oʊ l l i
fake	f eɪ k
salon	s ɐ l ɑː n
collaborative	k ə l æ b ɹ ə t ɪ v
norman	n ɔːɹ m ə n
fda	ɛ f d iː eɪ
excluding	ɛ k s k l uː d ɪ ŋ
turbo	t ɜː b oʊ
headed	h ɛ d ᵻ d
voters	v oʊ ɾ ɚ z
cure	k j ʊɹ
madonna	m ɐ d ɑː n ə
commander	k ə m æ n d ɚ
arch	ɑːɹ tʃ
ni	n aɪ
murphy	m ɜː f i
thinks	θ ɪ ŋ k s
thats	ð æ t s
suggestion	s ə dʒ ɛ s tʃ ə n
hdtv	eɪ tʃ d iː t iː v iː
soldier	s oʊ l dʒ ɚ
phillips	f ɪ l ɪ p s
asin	æ s ɪ n
aimed	eɪ m d
justin	dʒ ʌ s t ɪ n
bomb	b ɑː m
harm	h ɑːɹ m
interval	ɪ n t ɚ v əl
mirrors	m ɪ ɹ ɚ z
spotlight	s p ɑː t l aɪ t
tricks	t ɹ ɪ k s
reset	ɹ ᵻ s ɛ t
brush	b ɹ ʌ ʃ
investigate	ɪ n v ɛ s t ᵻ ɡ eɪ t
thy	ð aɪ
expansys	ɛ k s p æ n z i z
panels	p æ n əl z
repeated	ɹ ᵻ p iː ɾ ᵻ d
assault	ɐ s ɔ l t
connecting	k ə n ɛ k t ɪ ŋ
spare	s p ɛɹ
logistics	l ə dʒ ɪ s t ɪ k s
deer	d ɪɹ
kodak	k oʊ d æ k
tongue	t ʌ ŋ
bowling	b oʊ l ɪ ŋ
tri	t ɹ aɪ
danish	d eɪ n ɪ ʃ
pal	p æ l
monkey	m ʌ ŋ k i
proportion	p ɹ ə p ɔːɹ ʃ ə n
filename	f aɪ l n eɪ m
skirt	s k ɜː t
florence	f l ɔː ɹ ə n s
invest	ɪ n v ɛ s t
honey	h ʌ n i
um	ʌ m
analyses	æ n ɐ l aɪ z ᵻ z
drawings	d ɹ ɔː ɪ ŋ z
significance	s ɪ ɡ n ɪ f ɪ k ə n s
scenario	s ə n æ ɹ i oʊ
ye	j iː
fs	ɛ f ɛ s
lovers	l ʌ v ɚ z
atomic	ɐ t ɑː m ɪ k
approx	ɐ p ɹ ɑː k s
symposium	s ɪ m p oʊ s iə m
arabic	æ ɹ ɐ b ɪ k
gauge	ɡ eɪ dʒ
essentials	ᵻ s ɛ n ʃ əl z
junction	dʒ ʌ ŋ k ʃ ə n
protecting	p ɹ ə t ɛ k t ɪ ŋ
nn	ɛ n ɛ n
faced	f eɪ s d
mat	m æ t
rachel	ɹ eɪ tʃ əl
solving	s ɑː l v ɪ ŋ
transmitted	t ɹ æ n s m ɪ ɾ ᵻ d
weekends	w iː k ɛ n d z
screenshots	s k ɹ iː n ʃ ɑː t s
produces	p ɹ ə d uː s ᵻ z
oven	ʌ v ə n
ted	t ɛ d
intensive	ɪ n t ɛ n s ɪ v
chains	tʃ eɪ n z
kingston	k ɪ ŋ s t ə n
sixth	s ɪ k s θ
engage	ɛ ŋ ɡ eɪ dʒ
deviant	d iː v iə n t
noon	n uː n
switching	s w ɪ tʃ ɪ ŋ
quoted	k w oʊ ɾ ᵻ d
adapters	ɐ d æ p t ɚ z
correspondence	k ɔː ɹ ɪ s p ɑː n d ə n s
farms	f ɑːɹ m z
imports	ɪ m p ɔːɹ t s
supervision	s uː p ɚ v ɪ ʒ ə n
cheat	tʃ iː t
bronze	b ɹ ɑː n z
expenditures	ɛ k s p ɛ n d ɪ tʃ ɚ z
sandy	s æ n d i
separation	s ɛ p ɚ ɹ eɪ ʃ ə n
testimony	t ɛ s t ᵻ m ə n i
suspect	s ʌ s p ɛ k t
celebrities	s ə l ɛ b ɹ ᵻ ɾ i z
macro	m æ k ɹ oʊ
sender	s ɛ n d ɚ
mandatory	m æ n d ə t ɔː ɹ i
boundaries	b aʊ n d ɚ ɹ i z
crucial	k ɹ uː ʃ əl
syndication	s ɪ n d ɪ k eɪ ʃ ə n
gym	dʒ ɪ m
celebration	s ɛ l ə b ɹ eɪ ʃ ə n
kde	k eɪ d iː iː
adjacent	ɐ dʒ eɪ s ə n t
filtering	f ɪ l t ɚ ɹ ɪ ŋ
tuition	t uː ɪ ʃ ə n
spouse	s p aʊ s
exotic	ɛ ɡ z ɑː ɾ ɪ k
viewer	v j uː ɚ
signup	s aɪ n ʌ p
threats	θ ɹ ɛ t s
luxembourg	l ʌ k s ə m b ɜː ɡ
puzzles	p ʌ z əl z
reaching	ɹ iː tʃ ɪ ŋ
vb	v iː b iː
damaged	d æ m ɪ dʒ d
cams	k æ m z
receptor	ɹ ᵻ s ɛ p t ɚ
laugh	l æ f
joel	dʒ oʊ l
surgical	s ɜː dʒ ɪ k əl
destroy	d ᵻ s t ɹ ɔɪ
citation	s aɪ t eɪ ʃ ə n
pitch	p ɪ tʃ
autos	ɔː ɾ oʊ z
yo	j oʊ
premises	p ɹ ɛ m ɪ s ᵻ z
perry	p ɛ ɹ i
proved	p ɹ uː v d
offensive	ə f ɛ n s ɪ v
imperial	ɪ m p ɪ ɹ i əl
dozen	d ʌ z ə n
benjamin	b ɛ n dʒ ə m ɪ n
deployment	d ᵻ p l ɔɪ m ə n t
teeth	t iː θ
cloth	k l ɔ θ
studying	s t ʌ d i ɪ ŋ
colleagues	k ɑː l iː ɡ z
stamp	s t æ m p
lotus	l oʊ ɾ ə s
salmon	s æ m ə n
olympus	ə l ɪ m p ə s
separated	s ɛ p ɚ ɹ eɪ ɾ ᵻ d
proc	p ɹ ɑː k
cargo	k ɑːɹ ɡ oʊ
tan	t æ n
directive	d ᵻ ɹ ɛ k t ɪ v
fx	ɛ f ɛ k s
salem	s eɪ l ə m
mate	m eɪ t
dl	d iː ɛ l
starter	s t ɑːɹ ɾ ɚ
upgrades	ʌ p ɡ ɹ eɪ d z
likes	l aɪ k s
butter	b ʌ ɾ ɚ
pepper	p ɛ p ɚ
weapon	w ɛ p ə n
luggage	l ʌ ɡ ɪ dʒ
burden	b ɜː d ə n
chef	ʃ ɛ f
tapes	t eɪ p s
zones	z oʊ n z
races	ɹ eɪ s ᵻ z
isle	aɪ əl
stylish	s t aɪ l ɪ ʃ
slim	s l ɪ m
maple	m eɪ p əl
luke	l uː k
grocery	ɡ ɹ oʊ s ɚ ɹ i
offshore	ɔ f ʃ ɔːɹ
governing	ɡ ʌ v ɚ n ɪ ŋ
retailers	ɹ iː t eɪ l ɚ z
depot	d iː p oʊ
kenneth	k ɛ n ə θ
comp	k ɑː m p
alt	ɑː l t
pie	p aɪ
blend	b l ɛ n d
harrison	h æ ɹ ɪ s ə n
ls	ɛ l ɛ s
julie	dʒ uː l i
occasionally	ə k eɪ ʒ ə n əl i
cbs	s iː b iː ɛ s
attending	ɐ t ɛ n d ɪ ŋ
emission	ɪ m ɪ ʃ ə n
pete	p iː t
spec	s p ɛ k
finest	f aɪ n ɪ s t
realty	ɹ iː ə l t i
janet	dʒ æ n ɪ t
bow	b oʊ
penn	p ɛ n
recruiting	ɹ ᵻ k ɹ uː ɾ ɪ ŋ
apparent	ɐ p æ ɹ ə n t
instructional	ɪ n s t ɹ ʌ k ʃ ə n əl
phpbb	p iː eɪ tʃ p iː b iː b iː
autumn	ɔː ɾ ʌ m
traveling	t ɹ æ v ə l ɪ ŋ
probe	p ɹ oʊ b
midi	m ɪ d i
permissions	p ɚ m ɪ ʃ ə n z
biotechnology	b aɪ oʊ t ɛ k n ɑː l ə dʒ i
toilet	t ɔɪ l ɪ t
ranked	ɹ æ ŋ k t
jackets	dʒ æ k ɪ t s
routes	ɹ aʊ t s
packed	p æ k t
excited	ɛ k s aɪ ɾ ᵻ d
outreach	aʊ t ɹ iː tʃ
helen	h ɛ l ə n
mounting	m aʊ n t ɪ ŋ
recover	ɹ ᵻ k ʌ v ɚ
tied	t aɪ d
lopez	l oʊ p ɛ z
balanced	b æ l ə n s t
prescribed	p ɹ ɪ s k ɹ aɪ b d
catherine	k æ θ ɹ ɪ n
timely	t aɪ m l i
talked	t ɔː k t
debug	d iː b ʌ ɡ
delayed	d ᵻ l eɪ d
chuck	tʃ ʌ k
reproduced	ɹ ᵻ p ɹ ə d uː s t
hon	h ɑː n
dale	d eɪ l
explicit	ɛ k s p l ɪ s ɪ t
calculation	k æ l k j ʊ l eɪ ʃ ə n
villas	v ɪ l ə z
ebook	iː b ʊ k
consolidated	k ə n s ɑː l ᵻ d eɪ ɾ ᵻ d
exclude	ɛ k s k l uː d
peeing	p iː ɪ ŋ
occasions	ə k eɪ ʒ ə n z
brooks	b ɹ ʊ k s
equations	ᵻ k w eɪ ʒ ə n z
newton	n uː t ə n
oils	ɔɪ l z
sept	s ɛ p t
exceptional	ɛ k s ɛ p ʃ ə n əl
anxiety	æ ŋ z aɪə ɾ i
bingo	b ɪ ŋ ɡ oʊ
whilst	w aɪ l s t
spatial	s p eɪ ʃ əl
respondents	ɹ ᵻ s p ɑː n d ə n t s
unto	ʌ n t ʊ
lt	ɛ l t iː
ceramic	s ᵻ ɹ æ m ɪ k
prompt	p ɹ ɑː m p t
precious	p ɹ ɛ ʃ ə s
minds	m aɪ n d z
annually	æ n j uː əl i
considerations	k ə n s ɪ d ɚ ɹ eɪ ʃ ə n z
scanners	s k æ n ɚ z
atm	eɪ t iː ɛ m
xanax	z æ n æ k s
eq	ɛ k
pays	p eɪ z
fingers	f ɪ ŋ ɡ ɚ z
sunny	s ʌ n i
ebooks	iː b ʊ k s
delivers	d ᵻ l ɪ v ɚ z
je	dʒ iː
queensland	k w iː n s l ə n d
necklace	n ɛ k l ə s
musicians	m j uː z ɪ ʃ ə n z
leeds	l iː d z
composite	k ə m p ɑː z ɪ t
unavailable	ʌ n ɐ v eɪ l ə b əl
cedar	s iː d ɚ
arranged	ɚ ɹ eɪ n dʒ d
lang	l æ ŋ
theaters	θ iə ɾ ɚ z
advocacy	æ d v ə k ə s i
raleigh	ɹ ɑː l i
stud	s t ʌ d
fold	f oʊ l d
essentially	ᵻ s ɛ n ʃ əl i
designing	d ɪ z aɪ n ɪ ŋ
threaded	θ ɹ ɛ d ᵻ d
uv	j uː v iː
qualify	k w ɔ l ᵻ f aɪ
blair	b l ɛɹ
hopes	h oʊ p s
assessments	ɐ s ɛ s m ə n t s
cms	s iː ɛ m ɛ s
mason	m eɪ s ə n
diagram	d aɪ ə ɡ ɹ æ m
burns	b ɜː n z
pumps	p ʌ m p s
footwear	f ʊ t w ɛɹ
sg	ɛ s dʒ iː
vic	v ɪ k
beijing	b eɪ dʒ ɪ ŋ
peoples	p iː p əl z
victor	v ɪ k t ɚ
mario	m ɑːɹ ɹ ɪ oʊ
pos	p ɑː s
attach	ɐ t æ tʃ
licenses	l aɪ s ə n s ᵻ z
utils	j uː ɾ ɪ l z
removing	ɹ ᵻ m uː v ɪ ŋ
advised	ɐ d v aɪ z d
brunswick	b ɹ ʌ n s w ɪ k
spider	s p aɪ d ɚ
phys	f aɪ z
ranges	ɹ eɪ n dʒ ᵻ z
pairs	p ɛɹ z
sensitivity	s ɛ n s ɪ t ɪ v ᵻ ɾ i
trails	t ɹ eɪ l z
preservation	p ɹ ɛ z ɚ v eɪ ʃ ə n
hudson	h ʌ d s ə n
isolated	aɪ s ə l eɪ ɾ ᵻ d
calgary	k æ l ɡ ɚ ɹ i
interim	ɪ n t ɚ ɹ ɪ m
assisted	ɐ s ɪ s t ᵻ d
divine	d ᵻ v aɪ n
streaming	s t ɹ iː m ɪ ŋ
approve	ɐ p ɹ uː v
chose	tʃ oʊ z
compound	k ɑː m p aʊ n d
intensity	ɪ n t ɛ n s ᵻ ɾ i
technological	t ɛ k n ə l ɑː dʒ ɪ k əl
syndicate	s ɪ n d ᵻ k eɪ t
abortion	ɐ b ɔːɹ ʃ ə n
dialog	d aɪə l ɑː ɡ
venues	v ɛ n j uː z
blast	b l æ s t
wellness	w ɛ l n ə s
calcium	k æ l s iə m
newport	n uː p ɔːɹ t
antivirus	æ n t ɪ v aɪ ɹ ə s
addressing	ɐ d ɹ ɛ s ɪ ŋ
pole	p oʊ l
discounted	d ɪ s k aʊ n t ᵻ d
indians	ɪ n d iə n z
shield	ʃ iː l d
harvest	h ɑːɹ v ɪ s t
membrane	m ɛ m b ɹ eɪ n
prague	p ɹ ɑː ɡ
previews	p ɹ iː v j uː z
bangladesh	b æ ŋ ɡ l ɐ d ɛ ʃ
constitute	k ɑː n s t ɪ t uː t
locally	l oʊ k əl i
concluded	k ə ŋ k l uː d ᵻ d
pickup	p ɪ k ʌ p
desperate	d ɛ s p ɚ ɹ ə t
mothers	m ʌ ð ɚ z
nascar	n æ s k ɑːɹ
iceland	aɪ s l ə n d
demonstration	d ɛ m ə n s t ɹ eɪ ʃ ə n
governmental	ɡ ʌ v ɚ n m ɛ n t əl
manufactured	m æ n j uː f æ k tʃ ɚ d
candles	k æ n d əl z
graduation	ɡ ɹ æ dʒ uː eɪ ʃ ə n
mega	m ɛ ɡ ə
bend	b ɛ n d
sailing	s eɪ l ɪ ŋ
variations	v ɛ ɹ ɪ eɪ ʃ ə n z
moms	m ɑː m z
sacred	s eɪ k ɹ ɪ d
addiction	ɐ d ɪ k ʃ ə n
morocco	m ɚ ɹ ɑː k oʊ
chrome	k ɹ oʊ m
tommy	t ɑː m i
springfield	s p ɹ ɪ ŋ f iː l d
refused	ɹ ᵻ f j uː z d
brake	b ɹ eɪ k
exterior	ɛ k s t ɪ ɹ i ɚ
greeting	ɡ ɹ iː ɾ ɪ ŋ
ecology	ɛ k ɑː l ə dʒ i
oliver	ɑː l ɪ v ɚ
congo	k ɑː ŋ ɡ oʊ
glen	ɡ l ɛ n
botswana	b ə t s w ɑː n ə
nav	n æ v
delays	d ᵻ l eɪ z
synthesis	s ɪ n θ ə s ɪ s
olive	ɑː l ɪ v
undefined	ʌ n d ᵻ f aɪ n d
unemployment	ʌ n ɛ m p l ɔɪ m ə n t
cyber	s aɪ b ɚ
verizon	v ɛ ɹ aɪ z ə n
scored	s k ɔːɹ d
enhancement	ɛ n h æ n s m ə n t
newcastle	n uː k æ s əl
clone	k l oʊ n
velocity	v ə l ɑː s ᵻ ɾ i
lambda	l æ m d ə
relay	ɹ iː l eɪ
composed	k ə m p oʊ z d
tears	t ɪɹ z
performances	p ɚ f ɔːɹ m ə n s ᵻ z
oasis	oʊ eɪ s ɪ s
baseline	b eɪ s l aɪ n
cab	k æ b
angry	æ ŋ ɡ ɹ i
fa	f ɑː
societies	s ə s aɪə ɾ i z
silicon	s ɪ l ɪ k ə n
brazilian	b ɹ æ z ɪ l iə n
identical	aɪ d ɛ n t ɪ k əl
petroleum	p ə t ɹ oʊ l iː ə m
compete	k ə m p iː t
ist	ɪ s t
norwegian	n ɔːɹ w iː dʒ ə n
lover	l ʌ v ɚ
belong	b ᵻ l ɔ ŋ
honolulu	h ɑː n ə l uː l uː
beatles	b iː ɾ əl z
lips	l ɪ p s
retention	ɹ ᵻ t ɛ n ʃ ə n
exchanges	ɛ k s tʃ eɪ n dʒ ᵻ z
pond	p ɑː n d
rolls	ɹ oʊ l z
thomson	t ɑː m s ə n
barnes	b ɑːɹ n z
soundtrack	s aʊ n d t ɹ æ k
wondering	w ʌ n d ɚ ɹ ɪ ŋ
malta	m ɔ l t ə
daddy	d æ d i
lc	ɛ l s iː
ferry	f ɛ ɹ i
rabbit	ɹ æ b ɪ t
profession	p ɹ ə f ɛ ʃ ə n
seating	s iː ɾ ɪ ŋ
dam	d æ m
cnn	s iː ɛ n ɛ n
separately	s ɛ p ɹ ə t l i
physiology	f ɪ z ɪ ɑː l ə dʒ i
lil	l ɪ l
collecting	k ə l ɛ k t ɪ ŋ
das	d æ s
exports	ɛ k s p ɔːɹ t s
omaha	oʊ m ɐ h ɑː
tire	t aɪɚ
participant	p ɑːɹ t ɪ s ɪ p ə n t
scholarships	s k ɑː l ɚ ʃ ɪ p s
recreational	ɹ ɛ k ɹ iː eɪ ʃ ə n əl
dominican	d ə m ɪ n ɪ k ə n
chad	tʃ æ d
electron	ᵻ l ɛ k t ɹ ɑː n
loads	l oʊ d z
friendship	f ɹ ɛ n d ʃ ɪ p
heather	h ɛ ð ɚ
passport	p æ s p ɔːɹ t
motel	m oʊ t ɛ l
unions	j uː n iə n z
treasury	t ɹ ɛ ʒ ɚ ɹ i
warrant	w ɔː ɹ ə n t
sys	s ɪ z
solaris	s oʊ l ɑːɹ ɹ ɪ s
frozen	f ɹ oʊ z ə n
occupied	ɑː k j ʊ p aɪ d
josh	dʒ ɑː ʃ
royalty	ɹ ɔɪ əl ɾ i
scales	s k eɪ l z
rally	ɹ æ l i
observer	ə b z ɜː v ɚ
sunshine	s ʌ n ʃ aɪ n
strain	s t ɹ eɪ n
drag	d ɹ æ ɡ
ceremony	s ɛ ɹ ᵻ m ə n i
somehow	s ʌ m h aʊ
arrested	ɚ ɹ ɛ s t ᵻ d
expanding	ɛ k s p æ n d ɪ ŋ
provincial	p ɹ ə v ɪ n ʃ əl
investigations	ɪ n v ɛ s t ɪ ɡ eɪ ʃ ə n z
icq	aɪ k
ripe	ɹ aɪ p
yamaha	j ɑː m ə h ɑː
rely	ɹ ᵻ l aɪ
medications	m ɛ d ɪ k eɪ ʃ ə n z
hebrew	h iː b ɹ uː
gained	ɡ eɪ n d
rochester	ɹ ɑː tʃ ɛ s t ɚ
dying	d aɪ ɪ ŋ
laundry	l ɔː n d ɹ i
stuck	s t ʌ k
solomon	s ɑː l ɑː m ə n
placing	p l eɪ s ɪ ŋ
stops	s t ɑː p s
homework	h oʊ m w ɜː k
adjust	ɐ dʒ ʌ s t
assessed	ɐ s ɛ s t
advertiser	æ d v ɚ t aɪ z ɚ
enabling	ɛ n eɪ b l ɪ ŋ
encryption	ɛ ŋ k ɹ ɪ p ʃ ə n
filling	f ɪ l ɪ ŋ
downloadable	d aʊ n l oʊ d ə b əl
sophisticated	s ə f ɪ s t ᵻ k eɪ ɾ ᵻ d
imposed	ɪ m p oʊ z d
silence	s aɪ l ə n s
scsi	s k ʌ z i
focuses	f oʊ k ə s ᵻ z
soviet	s oʊ v iə t
possession	p ə z ɛ ʃ ə n
cu	k uː
laboratories	l æ b ɹ ə t ɔː ɹ i z
treaty	t ɹ iː ɾ i
vocal	v oʊ k əl
trainer	t ɹ eɪ n ɚ
organ	ɔːɹ ɡ ə n
stronger	s t ɹ ɔ ŋ ɡ ɚ
volumes	v ɑː l j uː m z
advances	ɐ d v æ n s ᵻ z
vegetables	v ɛ dʒ ɪ ɾ ə b əl z
lemon	l ɛ m ə n
toxic	t ɑː k s ɪ k
dns	d iː ɛ n ɛ s
thumbnails	θ ʌ m n eɪ l z
darkness	d ɑːɹ k n ə s
pty	t aɪ
ws	d ʌ b əl j uː ɛ s
nuts	n ʌ t s
nail	n eɪ l
bizrate	b ɪ z ɹ eɪ t
vienna	v ɪ ɛ n ə
implied	ɪ m p l aɪ d
span	s p æ n
stanford	s t æ n f ɚ d
sox	s ɑː k s
stockings	s t ɑː k ɪ ŋ z
joke	dʒ oʊ k
respondent	ɹ ᵻ s p ɑː n d ə n t
packing	p æ k ɪ ŋ
statute	s t æ tʃ uː t
rejected	ɹ ᵻ dʒ ɛ k t ᵻ d
satisfy	s æ ɾ ɪ s f aɪ
destroyed	d ᵻ s t ɹ ɔɪ d
shelter	ʃ ɛ l t ɚ
chapel	tʃ æ p əl
gamespot	ɡ eɪ m s p ɑː t
manufacture	m æ n j uː f æ k tʃ ɚ
layers	l eɪ ɚ z
wordpress	w ɜː d p ɹ ɛ s
guided	ɡ aɪ d ᵻ d
vulnerability	v ʌ l n ɚ ɹ ə b ɪ l ᵻ ɾ i
accountability	ɐ k aʊ n t ə b ɪ l ᵻ ɾ i
celebrate	s ɛ l ə b ɹ eɪ t
accredited	ɐ k ɹ ɛ d ɪ ɾ ᵻ d
appliance	ɐ p l aɪə n s
compressed	k ə m p ɹ ɛ s t
bahamas	b æ h ɑː m ə z
powell	p aʊ ɛ l
mixture	m ɪ k s tʃ ɚ
bench	b ɛ n tʃ
univ	j uː n ɪ v
tub	t ʌ b
rider	ɹ aɪ d ɚ
scheduling	s k ɛ dʒ uː l ɪ ŋ
radius	ɹ eɪ d ɪ ə s
perspectives	p ɚ s p ɛ k t ɪ v z
mortality	m ɔːɹ t æ l ᵻ ɾ i
logging	l ɔ ɡ ɪ ŋ
hampton	h æ m p t ə n
christians	k ɹ ɪ s tʃ ə n z
borders	b ɔːɹ d ɚ z
therapeutic	θ ɛ ɹ ə p j uː ɾ ɪ k
pads	p æ d z
butts	b ʌ t s
inns	ɪ n z
bobby	b ɑː b i
impressive	ɪ m p ɹ ɛ s ɪ v
sheep	ʃ iː p
accordingly	ɐ k ɔːɹ d ɪ ŋ l i
architect	ɑːɹ k ɪ t ɛ k t
railroad	ɹ eɪ l ɹ oʊ d
lectures	l ɛ k tʃ ɚ z
challenging	tʃ æ l ə n dʒ ɪ ŋ
wines	w aɪ n z
nursery	n ɜː s ɚ ɹ i
harder	h ɑːɹ d ɚ
cups	k ʌ p s
ash	æ ʃ
microwave	m aɪ k ɹ oʊ w eɪ v
cheapest	tʃ iː p ɪ s t
accidents	æ k s ɪ d ə n t s
travesti	t ɹ æ v ɛ s t i
relocation	ɹ ᵻ l oʊ k eɪ ʃ ə n
stuart	s t uː ɚ t
contributors	k ə n t ɹ ɪ b j uː ɾ ɚ z
salvador	s æ l v ɐ d ɔːɹ
ali	ɑː l i
salad	s æ l ə d
np	ɛ n p iː
monroe	m ɔ n ɹ oʊ
tender	t ɛ n d ɚ
violations	v aɪə l eɪ ʃ ə n z
foam	f oʊ m
temperatures	t ɛ m p ɹ ɪ tʃ ɚ z
paste	p eɪ s t
clouds	k l aʊ d z
competitions	k ɑː m p ə t ɪ ʃ ə n z
discretion	d ɪ s k ɹ ɛ ʃ ə n
tft	t iː ɛ f t iː
tanzania	t æ n z ɐ n iə
preserve	p ɹ ɪ z ɜː v
jvc	dʒ eɪ v iː s iː
poem	p oʊ ᵻ m
unsigned	ʌ n s aɪ n d
staying	s t eɪ ɪ ŋ
cosmetics	k ɑː z m ɛ ɾ ɪ k s
easter	iː s t ɚ
theories	θ iə ɹ i z
repository	ɹ ᵻ p ɑː z ɪ t ɔː ɹ i
praise	p ɹ eɪ z
jeremy	dʒ ɛ ɹ ə m i
venice	v ɛ n ɪ s
concentrations	k ɑː n s ə n t ɹ eɪ ʃ ə n z
estonia	ɛ s t oʊ n iə
christianity	k ɹ ɪ s t ɪ æ n ᵻ ɾ i
veteran	v ɛ ɾ ɚ ɹ ə n
streams	s t ɹ iː m z
landing	l æ n d ɪ ŋ
signing	s aɪ n ɪ ŋ
executed	ɛ k s ᵻ k j uː ɾ ᵻ d
katie	k eɪ ɾ i
negotiations	n ᵻ ɡ oʊ ʃ ɪ eɪ ʃ ə n z
realistic	ɹ iː ə l ɪ s t ɪ k
dt	d iː t iː
cgi	s iː dʒ iː aɪ
showcase	ʃ oʊ k eɪ s
integral	ɪ n t ᵻ ɡ ɹ əl
asks	æ s k s
relax	ɹ ᵻ l æ k s
namibia	n æ m ɪ b iə
generating	dʒ ɛ n ɚ ɹ eɪ ɾ ɪ ŋ
christina	k ɹ ɪ s t iː n ə
congressional	k ə ŋ ɡ ɹ ɛ ʃ ə n əl
synopsis	s ɪ n ɑː p s ɪ s
hardly	h ɑːɹ d l i
prairie	p ɹ ɛ ɹ i
reunion	ɹ iː j uː n iə n
composer	k ə m p oʊ z ɚ
bean	b iː n
sword	s ɔːɹ d
absent	æ b s ə n t
photographic	f oʊ ɾ ə ɡ ɹ æ f ɪ k
sells	s ɛ l z
ecuador	ɛ k w ɐ d ɔːɹ
hoping	h oʊ p ɪ ŋ
accessed	æ k s ɛ s t
spirits	s p ɪ ɹ ɪ t s
modifications	m ɑː d ɪ f ɪ k eɪ ʃ ə n z
coral	k ɔː ɹ əl
pixel	p ɪ k s əl
float	f l oʊ t
colin	k ɑː l ɪ n
bias	b aɪə s
imported	ɪ m p ɔːɹ ɾ ᵻ d
paths	p æ θ s
bubble	b ʌ b əl
por	p ɔːɹ
acquire	ɐ k w aɪɚ
contrary	k ɑː n t ɹ ɛ ɹ i
millennium	m ɪ l ɛ n iə m
tribune	t ɹ ɪ b j uː n
vessel	v ɛ s əl
acids	æ s ɪ d z
focusing	f oʊ k ə s ɪ ŋ
viruses	v aɪ ɹ ə s ᵻ z
cheaper	tʃ iː p ɚ
admitted	ɐ d m ɪ ɾ ᵻ d
dairy	d ɛ ɹ i
admit	ɐ d m ɪ t
mem	m ɛ m
fancy	f æ n s i
equality	iː k w ɔ l ᵻ ɾ i
samoa	s æ m oʊ ə
gc	dʒ iː s iː
achieving	ɐ tʃ iː v ɪ ŋ
tap	t æ p
stickers	s t ɪ k ɚ z
fisheries	f ɪ ʃ ɚ ɹ i z
exceptions	ɛ k s ɛ p ʃ ə n z
reactions	ɹ ɪ æ k ʃ ə n z
leasing	l iː s ɪ ŋ
lauren	l ɔː ɹ ə n
beliefs	b ᵻ l iː f s
ci	s aɪ
macromedia	m æ k ɹ ə m iː d iə
companion	k ə m p æ n iə n
squad	s k w ɑː d
analyze	æ n ɐ l aɪ z
ashley	æ ʃ l i
scroll	s k ɹ oʊ l
relate	ɹ ᵻ l eɪ t
divisions	d ᵻ v ɪ ʒ ə n z
swim	s w ɪ m
wages	w eɪ dʒ ᵻ z
additionally	ɐ d ɪ ʃ ə n əl i
suffer	s ʌ f ɚ
forests	f ɔː ɹ ɪ s t s
fellowship	f ɛ l oʊ ʃ ɪ p
nano	n æ n oʊ
invalid	ɪ n v æ l ɪ d
concerts	k ɑː n s ɚ t s
martial	m ɑːɹ ʃ əl
males	m eɪ l z
victorian	v ɪ k t ɔː ɹ iə n
retain	ɹ ᵻ t eɪ n
colours	k ʌ l ɚ z
execute	ɛ k s ᵻ k j uː t
tunnel	t ʌ n əl
genres	ʒ ɑː n ɹ ə z
cambodia	k æ m b oʊ d iə
patents	p æ ʔ n̩ t s
copyrights	k ɑː p ɪ ɹ aɪ t s
yn	ɪ n
chaos	k eɪ ɑː s
lithuania	l ɪ θ j uː eɪ n iə
mastercard	m æ s t ɚ k ɑːɹ d
wheat	w iː t
chronicles	k ɹ ɑː n ɪ k əl z
obtaining	ə b t eɪ n ɪ ŋ
beaver	b iː v ɚ
updating	ʌ p d eɪ ɾ ɪ ŋ
distribute	d ɪ s t ɹ ɪ b j uː t
readings	ɹ iː d ɪ ŋ z
decorative	d ɛ k ɹ ə t ɪ v
kijiji	k ɪ dʒ ɪ dʒ i
confused	k ə n f j uː z d
compiler	k ə m p aɪ l ɚ
enlargement	ɛ n l ɑːɹ dʒ m ə n t
eagles	iː ɡ əl z
bases	b eɪ s ᵻ z
vii	ɹ oʊ m ə n s ɛ v ə n
accused	ɐ k j uː z d
bee	b iː
campaigns	k æ m p eɪ n z
unity	j uː n ɪ ɾ i
loud	l aʊ d
conjunction	k ə n dʒ ʌ ŋ k ʃ ə n
bride	b ɹ aɪ d
rats	ɹ æ t s
defines	d ᵻ f aɪ n z
airports	ɛɹ p ɔːɹ t s
instances	ɪ n s t ə n s ᵻ z
indigenous	ɪ n d ɪ dʒ ə n ə s
begun	b ɪ ɡ ʌ n
